Any;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Antiguitat;Nombre_motos
2007;4;Les Corts;20;la Maternitat i Sant Ramon;4 anys;136
2007;4;Les Corts;21;Pedralbes;4 anys;130
2007;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;4 anys;25
2007;5;Sarrià-Sant Gervasi;23;Sarrià;4 anys;251
2007;5;Sarrià-Sant Gervasi;24;les Tres Torres;4 anys;192
2007;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;4 anys;244
2007;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;4 anys;571
2007;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;4 anys;265
2007;6;Gràcia;28;Vallcarca i els Penitents;4 anys;102
2007;6;Gràcia;29;el Coll;4 anys;37
2007;6;Gràcia;30;la Salut;4 anys;84
2007;6;Gràcia;31;la Vila de Gràcia;4 anys;269
2007;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;4 anys;176
2007;7;Horta-Guinardó;33;el Baix Guinardó;4 anys;123
2007;7;Horta-Guinardó;34;Can Baró;4 anys;39
2007;7;Horta-Guinardó;35;el Guinardó;4 anys;170
2007;7;Horta-Guinardó;36;la Font d'en Fargues;4 anys;66
2007;7;Horta-Guinardó;37;el Carmel;4 anys;131
2007;7;Horta-Guinardó;38;la Teixonera;4 anys;43
2007;7;Horta-Guinardó;39;Sant Genís dels Agudells;4 anys;25
2007;7;Horta-Guinardó;40;Montbau;4 anys;18
2007;7;Horta-Guinardó;41;la Vall d'Hebron;4 anys;20
2007;7;Horta-Guinardó;42;la Clota;4 anys;0
2007;7;Horta-Guinardó;43;Horta;4 anys;114
2007;8;Nou Barris;44;Vilapicina i la Torre Llobeta;4 anys;95
2007;8;Nou Barris;45;Porta;4 anys;38
2007;8;Nou Barris;46;el Turó de la Peira;4 anys;27
2007;8;Nou Barris;47;Can Peguera;4 anys;3
2007;8;Nou Barris;48;la Guineueta;4 anys;32
2007;8;Nou Barris;49;Canyelles;4 anys;15
2007;8;Nou Barris;50;les Roquetes;4 anys;32
2007;8;Nou Barris;51;Verdun;4 anys;21
2007;8;Nou Barris;52;la Prosperitat;4 anys;51
2007;8;Nou Barris;53;la Trinitat Nova;4 anys;4
2007;8;Nou Barris;54;Torre Baró;4 anys;4
2007;8;Nou Barris;55;Ciutat Meridiana;4 anys;8
2007;8;Nou Barris;56;Vallbona;4 anys;2
2007;9;Sant Andreu;57;la Trinitat Vella;4 anys;22
2007;9;Sant Andreu;58;Baró de Viver;4 anys;2
2007;9;Sant Andreu;59;el Bon Pastor;4 anys;26
2007;9;Sant Andreu;60;Sant Andreu;4 anys;159
2007;9;Sant Andreu;61;la Sagrera;4 anys;86
2007;9;Sant Andreu;62;el Congrés i els Indians;4 anys;43
2007;9;Sant Andreu;63;Navas;4 anys;73
2007;10;Sant Martí;64;el Camp de l'Arpa del Clot;4 anys;136
2007;10;Sant Martí;65;el Clot;4 anys;89
2007;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;4 anys;60
2007;10;Sant Martí;67;la Vila Olímpica del Poblenou;4 anys;51
2007;10;Sant Martí;68;el Poblenou;4 anys;68
2007;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;4 anys;44
2007;10;Sant Martí;70;el Besòs i el Maresme;4 anys;31
2007;10;Sant Martí;71;Provençals del Poblenou;4 anys;38
2007;10;Sant Martí;72;Sant Martí de Provençals;4 anys;67
2007;10;Sant Martí;73;la Verneda i la Pau;4 anys;62
2007;99;No consta;99;No consta;4 anys;15
2007;1;Ciutat Vella;1;el Raval;5 anys;78
2007;1;Ciutat Vella;2;el Barri Gòtic;5 anys;158
2007;1;Ciutat Vella;3;la Barceloneta;5 anys;42
2007;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;5 anys;66
2007;2;Eixample;5;el Fort Pienc;5 anys;110
2007;2;Eixample;6;la Sagrada Família;5 anys;171
2007;2;Eixample;7;la Dreta de l'Eixample;5 anys;234
2007;2;Eixample;8;l'Antiga Esquerra de l'Eixample;5 anys;241
2007;2;Eixample;9;la Nova Esquerra de l'Eixample;5 anys;235
2007;2;Eixample;10;Sant Antoni;5 anys;132
2007;3;Sants-Montjuïc;11;el Poble Sec;5 anys;95
2007;3;Sants-Montjuïc;12;la Marina del Prat Vermell;5 anys;8
2007;3;Sants-Montjuïc;13;la Marina de Port;5 anys;71
2007;3;Sants-Montjuïc;14;la Font de la Guatlla;5 anys;38
2007;3;Sants-Montjuïc;15;Hostafrancs;5 anys;50
2007;3;Sants-Montjuïc;16;la Bordeta;5 anys;55
2007;3;Sants-Montjuïc;17;Sants - Badal;5 anys;70
2007;3;Sants-Montjuïc;18;Sants;5 anys;127
2007;4;Les Corts;19;les Corts;5 anys;251
